DB8,X0.0;SiguienteControl
DB8,X0.1;FinControlCamara
DB8,X0.2;HabilitacionCobot
DB8,X0.3;FinControlCobot
DB8,X0.4;CobotOk
DB8,X0.5;CamaraCognexOk
DB8,X0.6;DivesOk
DB8,X0.7;TriggerCognex
DB8,X1.0;ConfirmacionCognex
DB8,X1.1;CicloActivo
DB8,X1.2;ReiniciarCiclo
DB8,X1.3;AbortarCiclo
DB8,X1.4;FinCiclo
DB8,X1.5;Bool_13
DB8,X1.6;Bool_14
DB8,X1.7;Bool_15
DB8,X2.0;Bool_16
DB8,X2.1;Bool_17
DB8,X2.2;Bool_18
DB8,X2.3;Bool_19
DB8,X2.4;Bool_20
DB8,X2.5;Bool_21
DB8,X2.6;Bool_22
DB8,X2.7;Bool_23
DB8,X3.0;CicloEnMarcha
DB8,X3.1;CicloEnPausa
DB8,X3.2;Bool_26
DB8,X3.3;Bool_27
DB8,X3.4;Bool_28
DB8,X3.5;Bool_29
DB8,X3.6;Bool_30
DB8,X3.7;SiempreUNO
DB8,X4.0;PunteroControl
DB8,X6.0;TotalControles
DB8,X8.0;TiempoCicloMinutos
DB8,X10.0;TiempoCicloSegundos
DB8,X12.0;EstadoCiclo
DB8,X14.0;PasoActivo
DB8,X16.0;Int_06
DB8,X18.0;Int_07
DB8,X20.0;Habilitacion
DB8,X22.0;ID
DB8,X34.0;Nombre
DB8,X96.0;zCarro
DB8,X100.0;xPlato
DB8,X104.0;xCamara
DB8,X108.0;yCamara
DB8,X112.0;zCamara
DB8,X116.0;ID_EC
DB8,X138.0;NombreCiclo


